team,team_country,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_against,avg_age_against,possession_against,games_against,games_starts_against,minutes_against,minutes_90s_against,goals_against,assists_against,goals_assists_against,goals_pens_against,pens_made_against,pens_att_against,cards_yellow_against,cards_red_against,goals_per90_against,assists_per90_against,goals_assists_per90_against,goals_pens_per90_against,goals_assists_pens_per90_against,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,shots_against,shots_on_target_against,shots_on_target_pct_against,shots_per90_against,shots_on_target_per90_against,goals_per_shot_against,goals_per_shot_on_target_against,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,minutes_per_game_against,minutes_pct_against,minutes_per_start_against,games_complete_against,games_subs_against,minutes_per_sub_against,unused_subs_against,points_per_game_against,on_goals_for_against,on_goals_against_against,plus_minus_against,plus_minus_per90_against,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,cards_yellow_red_against,fouls_against,fouled_against,offsides_against,crosses_against,interceptions_against,tackles_won_against,pens_won_against,pens_conceded_against,own_goals_against,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_games_against,gk_games_starts_against,gk_minutes_against,gk_goals_against_against,gk_goals_against_per90_against,gk_shots_on_target_against_against,gk_saves_against,gk_save_pct_against,gk_wins_against,gk_ties_against,gk_losses_against,gk_clean_sheets_against,gk_clean_sheets_pct_against,gk_pens_att_against,gk_pens_allowed_against,gk_pens_saved_against,gk_pens_missed_against,gk_pens_save_pct_against
IR Iran,Iran,19,32.3,39.0,2,22,180,2.0,2,1,3,2,0,0,2,0,1.0,0.5,1.5,1.0,1.5,19,29.6,61.0,2,22,180,2.0,2,2,4,2,0,0,1,1,1.0,1.0,2.0,1.0,2.0,24,7,29.2,12.0,3.5,0.08,0.29,37,15,40.5,18.5,7.5,0.05,0.13,90,100,79,13,9,26,21,1.0,2,2,0,0.0,90,100,79,11,10,18,17,1.0,2,2,0,0.0,0,19,13,6,27,24,20,,,0,0,15,18,3,44,16,17,,,0,2,2,180,2,1.0,15,13,86.7,0,2,0,1,50.0,0,0,0,0,,2,2,180,2,1.0,7,5,71.4,0,2,0,1,50.0,0,0,0,0,
Iraq,Iraq,20,26.4,42.0,2,22,180,2.0,1,1,2,1,0,0,2,0,0.5,0.5,1.0,0.5,1.0,20,27.7,58.0,2,22,180,2.0,6,5,11,6,0,0,0,0,3.0,2.5,5.5,3.0,5.5,15,1,6.7,7.5,0.5,0.07,1.0,31,10,32.3,15.5,5.0,0.19,0.6,90,100,77,12,10,29,20,0.0,1,7,-6,-3.0,90,100,77,12,10,15,20,3.0,7,1,6,3.0,0,16,21,1,22,16,22,,,1,0,21,15,1,31,8,19,,,0,2,2,180,7,3.5,11,4,36.4,0,0,2,0,0.0,0,0,0,0,,2,2,180,1,0.5,1,0,0.0,2,0,0,1,50.0,0,0,0,0,
Japan,Japan,22,27.7,51.0,2,22,180,2.0,6,6,12,6,0,0,0,0,3.0,3.0,6.0,3.0,6.0,22,27.5,49.0,2,22,180,2.0,2,2,4,2,0,0,3,0,1.0,1.0,2.0,1.0,2.0,21,8,38.1,10.5,4.0,0.29,0.75,12,6,50.0,6.0,3.0,0.17,0.33,90,100,83,12,10,15,18,2.0,6,2,4,2.0,90,100,83,12,10,20,20,0.5,2,6,-4,-2.0,0,22,15,1,34,10,21,,,0,0,15,21,2,31,21,21,,,0,2,2,180,2,1.0,6,4,66.7,1,1,0,1,50.0,0,0,0,0,,2,2,180,6,3.0,8,2,25.0,0,1,1,0,0.0,0,0,0,0,
Jordan,Jordan,19,28.7,32.5,2,22,180,2.0,2,2,4,2,0,0,1,0,1.0,1.0,2.0,1.0,2.0,19,28.4,67.5,2,22,180,2.0,4,2,6,3,1,1,2,0,2.0,1.0,3.0,1.5,2.5,19,8,42.1,9.5,4.0,0.11,0.25,28,12,42.9,14.0,6.0,0.11,0.25,90,100,87,12,10,7,20,0.0,2,5,-3,-1.5,90,100,87,12,10,27,19,3.0,5,2,3,1.5,0,18,14,2,20,14,23,,,1,0,18,17,3,38,25,26,,,0,2,2,180,5,2.5,12,7,58.3,0,0,2,0,0.0,1,1,0,0,0.0,2,2,180,2,1.0,8,6,75.0,2,0,0,0,0.0,0,0,0,0,
Korea Republic,Korea Republic,20,28.6,63.0,3,33,270,3.0,2,2,4,2,0,0,4,0,0.67,0.67,1.33,0.67,1.33,20,27.7,37.0,3,33,270,3.0,3,2,5,3,0,0,1,0,1.0,0.67,1.67,1.0,1.67,32,11,34.4,10.67,3.67,0.06,0.18,28,12,42.9,9.33,4.0,0.11,0.25,90,100,78,18,15,26,30,1.0,2,3,-1,-0.33,90,100,78,21,12,18,30,2.0,3,2,1,0.33,0,25,31,8,54,20,23,,,0,0,32,25,8,28,29,20,,,0,3,3,270,3,1.0,12,9,75.0,1,0,2,0,0.0,0,0,0,0,,3,3,270,2,0.67,10,8,80.0,2,0,1,2,66.7,0,0,0,0,
Mexico,Mexico,25,27.9,50.3,3,33,270,3.0,6,5,11,6,0,0,2,1,2.0,1.67,3.67,2.0,3.67,25,28.3,49.7,3,33,270,3.0,0,0,0,0,0,0,4,2,0.0,0.0,0.0,0.0,0.0,35,13,37.1,11.67,4.33,0.17,0.46,25,5,20.0,8.33,1.67,0.0,0.0,90,100,82,17,15,17,29,3.0,6,0,6,2.0,90,100,82,19,14,22,30,0.0,0,6,-6,-2.0,0,34,27,4,30,22,21,,,0,0,27,31,8,43,15,25,,,0,3,3,270,0,0.0,5,5,100.0,3,0,0,3,100.0,0,0,0,0,,3,3,270,6,2.0,13,7,53.8,0,0,3,0,0.0,0,0,0,0,
Morocco,Morocco,20,26.3,59.0,3,33,270,3.0,6,5,11,6,0,0,1,0,2.0,1.67,3.67,2.0,3.67,20,29.5,41.0,3,33,270,3.0,2,2,4,2,0,0,6,0,0.67,0.67,1.33,0.67,1.33,48,16,33.3,16.0,5.33,0.13,0.38,27,7,25.9,9.0,2.33,0.07,0.29,90,100,85,19,14,13,31,2.33,6,3,3,1.0,90,100,85,18,15,21,29,0.33,3,6,-3,-1.0,0,32,44,6,47,16,32,,,1,0,45,31,1,32,28,35,,,0,3,3,270,3,1.0,8,5,62.5,2,1,0,1,33.3,0,0,0,0,,3,3,270,6,2.0,17,11,64.7,0,1,2,0,0.0,0,0,0,0,
Netherlands,Netherlands,18,27.4,55.5,2,22,180,2.0,7,7,14,7,0,0,3,0,3.5,3.5,7.0,3.5,7.0,18,27.8,44.5,2,22,180,2.0,3,3,6,3,0,0,3,0,1.5,1.5,3.0,1.5,3.0,20,13,65.0,10.0,6.5,0.35,0.54,26,11,42.3,13.0,5.5,0.12,0.27,90,100,81,12,10,21,19,2.0,7,3,4,2.0,90,100,81,12,10,20,20,0.5,3,7,-4,-2.0,0,16,17,4,36,15,14,,,0,0,19,16,3,44,10,19,,,0,2,2,180,3,1.5,11,8,72.7,1,1,0,0,0.0,0,0,0,0,,2,2,180,7,3.5,13,6,46.2,0,1,1,0,0.0,0,0,0,0,
New Zealand,New Zealand,17,28.9,48.0,2,22,180,2.0,3,3,6,3,0,0,2,0,1.5,1.5,3.0,1.5,3.0,17,30.8,52.0,2,22,180,2.0,5,4,9,5,0,0,2,0,2.5,2.0,4.5,2.5,4.5,25,13,52.0,12.5,6.5,0.12,0.23,36,11,30.6,18.0,5.5,0.14,0.45,90,100,84,12,10,13,19,0.5,3,5,-2,-1.0,90,100,84,13,10,21,20,2.0,5,3,2,1.0,0,22,18,3,27,18,15,,,0,0,18,21,2,41,18,23,,,0,2,2,180,5,2.5,11,6,54.5,0,1,1,0,0.0,0,0,0,0,,2,2,180,3,1.5,13,10,76.9,1,1,0,0,0.0,0,0,0,0,
Norway,Norway,17,27.8,51.5,2,22,180,2.0,6,4,10,6,0,0,0,0,3.0,2.0,5.0,3.0,5.0,17,28.0,48.5,2,22,180,2.0,3,3,6,3,0,0,1,0,1.5,1.5,3.0,1.5,3.0,25,12,48.0,12.5,6.0,0.24,0.5,27,5,18.5,13.5,2.5,0.11,0.6,90,100,79,12,10,24,20,3.0,7,3,4,2.0,90,100,79,12,10,26,20,0.0,3,7,-4,-2.0,0,26,15,0,27,11,21,,,0,0,17,26,5,36,15,20,,,1,2,2,180,3,1.5,5,2,40.0,2,0,0,0,0.0,0,0,0,0,,2,2,180,7,3.5,12,5,41.7,0,0,2,0,0.0,0,0,0,0,
Panama,Panama,17,29.3,52.0,2,22,180,2.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,17,28.3,48.0,2,22,180,2.0,2,1,3,2,0,0,2,0,1.0,0.5,1.5,1.0,1.5,19,5,26.3,9.5,2.5,0.0,0.0,14,4,28.6,7.0,2.0,0.14,0.5,90,100,86,14,8,12,22,0.0,0,2,-2,-1.0,90,100,86,12,10,27,19,3.0,2,0,2,1.0,0,30,21,2,50,9,16,,,0,0,21,29,6,33,13,15,,,0,2,2,180,2,1.0,5,3,60.0,0,0,2,0,0.0,0,0,0,0,,2,2,180,0,0.0,5,5,100.0,2,0,0,2,100.0,0,0,0,0,
Paraguay,Paraguay,21,28.2,28.5,2,22,180,2.0,2,2,4,2,0,0,6,1,1.0,1.0,2.0,1.0,2.0,21,27.0,71.5,2,22,180,2.0,3,3,6,3,0,0,3,0,1.5,1.5,3.0,1.5,3.0,16,3,18.8,8.0,1.5,0.13,0.67,48,11,22.9,24.0,5.5,0.06,0.27,90,100,79,11,10,19,20,1.5,2,4,-2,-1.0,90,100,79,13,9,25,21,1.5,4,2,2,1.0,0,32,26,4,11,18,31,,,1,0,27,31,4,59,17,18,,,0,2,2,180,4,2.0,12,8,66.7,1,0,1,1,50.0,0,0,0,0,,2,2,180,2,1.0,3,1,33.3,1,0,1,0,0.0,0,0,0,0,
Portugal,Portugal,18,28.0,70.5,2,22,180,2.0,5,3,8,5,0,0,4,0,2.5,1.5,4.0,2.5,4.0,18,28.3,29.5,2,22,180,2.0,1,1,2,1,0,0,2,0,0.5,0.5,1.0,0.5,1.0,24,10,41.7,12.0,5.0,0.21,0.5,15,4,26.7,7.5,2.0,0.07,0.25,90,100,79,13,9,26,21,2.0,6,1,5,2.5,90,100,79,12,10,19,20,0.5,1,6,-5,-2.5,0,23,24,5,45,7,17,,,0,0,25,22,4,17,19,25,,,1,2,2,180,1,0.5,4,3,75.0,1,1,0,1,50.0,0,0,0,0,,2,2,180,6,3.0,10,4,40.0,0,1,1,0,0.0,0,0,0,0,
Qatar,Qatar,22,30.1,33.0,3,33,270,3.0,2,2,4,2,0,0,4,2,0.67,0.67,1.33,0.67,1.33,22,28.3,67.0,3,33,270,3.0,8,3,11,7,1,1,3,0,2.67,1.0,3.67,2.33,3.33,18,7,38.9,6.0,2.33,0.11,0.29,72,22,30.6,24.0,7.33,0.1,0.32,90,100,75,17,15,27,28,0.33,2,10,-8,-2.67,90,100,75,18,15,23,28,2.33,10,2,8,2.67,0,36,28,4,28,25,24,,,2,0,29,36,3,112,17,20,,,0,3,3,270,10,3.33,22,12,54.5,0,1,2,0,0.0,1,1,0,0,0.0,3,3,270,2,0.67,7,5,71.4,2,1,0,1,33.3,0,0,0,0,
Saudi Arabia,Saudi Arabia,17,28.9,33.0,2,22,180,2.0,1,0,1,1,0,0,3,0,0.5,0.0,0.5,0.5,0.5,17,27.9,67.0,2,22,180,2.0,4,3,7,4,0,0,0,0,2.0,1.5,3.5,2.0,3.5,10,4,40.0,5.0,2.0,0.1,0.25,49,18,36.7,24.5,9.0,0.08,0.22,90,100,81,12,10,19,20,0.5,1,5,-4,-2.0,90,100,81,12,10,29,18,2.0,5,1,4,2.0,0,13,16,3,12,19,21,,,1,0,16,12,8,72,26,10,,,0,2,2,180,5,2.5,19,14,73.7,0,1,1,0,0.0,0,0,0,0,,2,2,180,1,0.5,4,3,75.0,1,1,0,1,50.0,0,0,0,0,
Scotland,Scotland,20,29.5,44.3,3,33,270,3.0,1,0,1,1,0,0,5,0,0.33,0.0,0.33,0.33,0.33,20,28.3,55.7,3,33,270,3.0,4,4,8,4,0,0,4,0,1.33,1.33,2.67,1.33,2.67,29,7,24.1,9.67,2.33,0.03,0.14,48,13,27.1,16.0,4.33,0.08,0.31,90,100,84,18,15,14,30,1.0,1,4,-3,-1.0,90,100,84,21,12,13,32,2.0,4,1,3,1.0,0,42,39,2,50,17,25,,,0,0,42,41,4,45,24,18,,,0,3,3,270,4,1.33,12,8,66.7,1,0,2,1,33.3,0,0,0,0,,3,3,270,1,0.33,7,6,85.7,2,0,1,2,66.7,0,0,0,0,
Senegal,Senegal,19,29.2,52.0,2,22,180,2.0,3,3,6,3,0,0,0,0,1.5,1.5,3.0,1.5,3.0,19,27.5,48.0,2,22,180,2.0,6,4,10,6,0,0,0,0,3.0,2.0,5.0,3.0,5.0,22,6,27.3,11.0,3.0,0.14,0.5,24,15,62.5,12.0,7.5,0.25,0.4,90,100,81,12,10,20,20,0.0,3,6,-3,-1.5,90,100,81,15,7,25,23,3.0,6,3,3,1.5,0,14,18,7,32,18,16,,,0,0,18,12,1,19,15,25,,,0,2,2,180,6,3.0,14,8,57.1,0,0,2,0,0.0,0,0,0,0,,2,2,180,3,1.5,7,4,57.1,2,0,0,0,0.0,0,0,0,0,
South Africa,South Africa,19,27.2,44.7,3,33,270,3.0,2,1,3,1,1,1,5,2,0.67,0.33,1.0,0.33,0.67,19,28.3,55.3,3,33,270,3.0,3,3,6,3,0,0,3,1,1.0,1.0,2.0,1.0,2.0,33,10,30.3,11.0,3.33,0.03,0.1,38,10,26.3,12.67,3.33,0.08,0.3,90,100,82,22,10,22,31,1.33,2,3,-1,-0.33,90,100,82,17,15,27,29,1.33,3,2,1,0.33,0,28,30,7,33,31,24,,,0,0,33,28,3,61,21,19,,,0,3,3,270,3,1.0,9,6,66.7,1,1,1,1,33.3,0,0,0,0,,3,3,270,2,0.67,10,8,80.0,1,1,1,1,33.3,1,1,0,0,0.0
